,ID,MONTHS_BALANCE,STATUS,CODE_GENDER,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,CNT_FAM_MEMBERS,Letter,Empleo,BIRTH
0,5008804,0.0,C,1,0.0,427500.0,4,1,0,4,2.0,L,1,1990-04-09
1,5008805,0.0,C,1,0.0,427500.0,4,1,0,4,2.0,G,1,1990-04-09
2,5008806,0.0,C,1,0.0,112500.0,4,4,1,1,2.0,D,1,1964-05-06
3,5008808,0.0,0,0,0.0,270000.0,0,4,3,1,1.0,I,1,1970-10-26
4,5008810,0.0,C,0,0.0,270000.0,0,4,3,1,1.0,C,1,1970-10-26
5,5008811,0.0,C,0,0.0,270000.0,0,4,3,1,1.0,J,1,1970-10-26
6,5008813,0.0,0,0,0.0,283500.0,1,1,2,1,1.0,K,0,1961-08-20
7,5008815,0.0,0,1,0.0,270000.0,2,1,1,1,2.0,N,1,1976-12-11
8,5008821,0.0,X,1,0.0,135000.0,0,4,1,1,2.0,O,1,1974-06-19
9,5008824,0.0,0,1,0.0,135000.0,0,4,1,1,2.0,P,1,1974-06-19
10,5008825,0.0,0,0,0.0,130500.0,4,2,1,1,2.0,M,1,1993-12-05
11,5008827,0.0,C,1,0.0,180000.0,1,1,1,1,2.0,R,0,1971-09-29
12,5008830,0.0,C,0,0.0,157500.0,4,4,1,1,2.0,V,1,1995-09-04
13,5008831,0.0,C,0,0.0,157500.0,4,4,1,1,2.0,A,1,1995-09-04
14,5008832,0.0,C,0,0.0,157500.0,4,4,1,1,2.0,W,1,1995-09-04
15,5008834,0.0,C,0,1.0,112500.0,4,4,3,1,2.0,V,1,1993-02-09
16,5008839,0.0,C,1,1.0,405000.0,0,1,1,1,3.0,D,1,1990-09-19
17,5008840,0.0,C,1,1.0,405000.0,0,1,1,1,3.0,V,1,1990-09-19
18,5008841,0.0,0,1,1.0,405000.0,0,1,1,1,3.0,D,1,1990-09-19
19,5008842,0.0,0,1,1.0,405000.0,0,1,1,1,3.0,G,1,1990-09-19
20,5008843,0.0,C,1,1.0,405000.0,0,1,1,1,3.0,K,1,1990-09-19
21,5008846,0.0,0,1,0.0,112500.0,0,4,1,1,2.0,O,1,1967-01-03
22,5008850,0.0,0,1,0.0,112500.0,0,4,1,1,2.0,A,1,1967-01-03
23,5008851,0.0,0,1,0.0,112500.0,0,4,1,1,2.0,Q,1,1967-01-03
24,5008852,0.0,0,1,0.0,112500.0,0,4,1,1,2.0,Q,1,1967-01-03
25,5008855,0.0,C,0,2.0,135000.0,4,4,1,1,4.0,Y,1,1979-12-27
26,5008856,0.0,0,0,2.0,135000.0,4,4,1,1,4.0,L,1,1979-12-27
27,5008857,0.0,X,0,2.0,135000.0,4,4,1,1,4.0,H,1,1979-12-27
28,5008858,0.0,C,0,2.0,135000.0,4,4,1,1,4.0,W,1,1979-12-27
29,5008859,0.0,0,0,2.0,135000.0,4,4,1,1,4.0,V,1,1979-12-27
30,5008860,0.0,0,0,2.0,135000.0,4,4,1,1,4.0,B,1,1979-12-27
31,5008861,0.0,0,0,2.0,135000.0,4,4,1,1,4.0,O,1,1979-12-27
32,5008862,0.0,0,0,2.0,135000.0,4,4,1,1,4.0,Z,1,1979-12-27
33,5008864,0.0,0,0,2.0,135000.0,4,4,1,1,4.0,I,1,1979-12-27
34,5008868,0.0,0,0,1.0,211500.0,2,4,0,1,3.0,G,1,1978-10-02
